StartTime,Site,SiteID,Address,Latitude,Longitude,pm25,co,no,no2,nox,ozone,so2,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,observation_datetime,station_id,Location
11/5/15 4:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,31.2,NULL,NULL,NULL,NULL,0,NULL,59,Fog/Mist,South at 4.6 MPH (4 KT),South,190,4.6,NULL,59,00:00.0,KLGA,Rooftop
11/5/15 23:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,7.9,NULL,NULL,NULL,NULL,NULL,NULL,66,Fog/Mist,South at 5.8 MPH (5 KT),South,190,5.8,NULL,NULL,00:00.0,KLGA,Rooftop
11/8/15 19:00,MSPTH,360810120,Maspeth Library       69-70 GRAND AV,40.72698,-73.89313,10,NULL,NULL,NULL,NULL,NULL,NULL,54,Fair,North at 5.8 MPH (5 KT),North,340,5.8,NULL,53,00:00.0,KLGA,Rooftop
11/1/15 16:00,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,7.19,NULL,2,16.2,18.2,NULL,1.8,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,00:00.0,KLGA,Rooftop
11/9/15 10:00,PS 19,360610128,PS 19    185 1ST AVENUE,40.73,-73.98446,8.7,NULL,NULL,NULL,NULL,NULL,NULL,56,Mostly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 4:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,10.2,NULL,NULL,NULL,NULL,NULL,NULL,58,Mostly Cloudy,Northwest at 6.9 MPH (6 KT),Northwest,310,6.9,NULL,57,00:00.0,KLGA,Rooftop
11/7/15 17:00,Bronx - IS74,360050112,IS 74    730 BRYANT AV,40.81551,-73.88553,4.6,NULL,NULL,NULL,NULL,NULL,NULL,58,Overcast,from the Northwest at 13.8 gusting to 24.2 MPH (12,Northwest,330,13.8,24.2,55,00:00.0,KLGA,Rooftop
11/2/15 22:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,800,63.7,43.1,106.8,1,3.2,57,Mostly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 15:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,9.3,NULL,NULL,NULL,NULL,NULL,NULL,62,Mostly Cloudy,Northwest at 5.8 MPH (5 KT),Northwest,310,5.8,NULL,62,00:00.0,KLGA,Rooftop
11/7/15 7:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,4.2,NULL,NULL,NULL,NULL,23,NULL,63,Mostly Cloudy,Northwest at 10.4 MPH (9 KT),Northwest,310,10.4,NULL,62,00:00.0,KLGA,Rooftop
11/5/15 8:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,19.5,NULL,NULL,NULL,NULL,NULL,NULL,64,Mostly Cloudy with Haze,Southwest at 5.8 MPH (5 KT),Southwest,220,5.8,NULL,NULL,00:00.0,KLGA,Rooftop
11/4/15 3:00,PS 19,360610128,PS 19    185 1ST AVENUE,40.73,-73.98446,22.1,NULL,NULL,NULL,NULL,NULL,NULL,56,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/9/15 11:00,PS 314,360470052,"PS 314, 330 59th ST",40.64182,-74.01871,2.8,NULL,NULL,NULL,NULL,NULL,NULL,57,Mostly Cloudy,Southwest at 8.1 MPH (7 KT),Southwest,210,8.1,NULL,55,00:00.0,KLGA,Rooftop
11/4/15 22:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,11.9,NULL,NULL,NULL,NULL,NULL,NULL,58,Partly Cloudy,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/5/15 15:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,19.4,NULL,NULL,NULL,NULL,NULL,NULL,67,Overcast,South at 8.1 MPH (7 KT),South,170,8.1,NULL,NULL,00:00.0,KLGA,Rooftop
11/8/15 5:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,100,0.3,7.4,7.8,26,0.8,48,A Few Clouds,Northwest at 11.5 MPH (10 KT),Northwest,320,11.5,NULL,43,00:00.0,KLGA,Rooftop
11/3/15 15:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,6.5,NULL,NULL,NULL,NULL,NULL,NULL,73,Fair,Southwest at 9.2 MPH (8 KT),Southwest,210,9.2,NULL,NULL,00:00.0,KLGA,Rooftop
11/6/15 17:00,PS 19,360610128,PS 19    185 1ST AVENUE,40.73,-73.98446,15.4,NULL,NULL,NULL,NULL,NULL,NULL,72,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 13:00,IS143,360610115,515 W 182nd St,40.84955,-73.935649,9.3,NULL,NULL,NULL,NULL,NULL,NULL,63,Mostly Cloudy,West at 8.1 MPH (7 KT),West,270,8.1,NULL,63,00:00.0,KLGA,Rooftop
11/7/15 22:00,Susan Wagner,360850067,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",40.59664,-74.12525,NULL,NULL,NULL,NULL,NULL,27,NULL,55,Mostly Cloudy,Northwest at 13.8 MPH (12 KT),Northwest,320,13.8,NULL,51,00:00.0,KLGA,Rooftop
11/7/15 8:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,5.4,NULL,NULL,NULL,NULL,NULL,NULL,62,Mostly Cloudy,Northwest at 15.0 MPH (13 KT),Northwest,300,15,NULL,60,00:00.0,KLGA,Rooftop
11/2/15 7:00,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,NULL,500,9.5,27,36.6,7,1.9,58,Mostly Cloudy,Northwest at 3.5 MPH (3 KT),Northwest,300,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/8/15 13:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,-0.51,137.46,1.2,4.7,5.9,32,0.2,57,Partly Cloudy,Northwest at 8.1 MPH (7 KT),Northwest,330,8.1,NULL,55,00:00.0,KLGA,Rooftop
11/4/15 21:00,FKILL,360850111,FRESHKILLS WEST   310 West Service Road,40.58027,-74.19832,9.8,NULL,NULL,NULL,NULL,NULL,NULL,59,Fair,Southeast at 3.5 MPH (3 KT),Southeast,150,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/2/15 3:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,8.8,NULL,NULL,NULL,NULL,NULL,NULL,57,Partly Cloudy,Northwest at 4.6 MPH (4 KT),Northwest,300,4.6,NULL,57,00:00.0,KLGA,Rooftop
11/1/15 14:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,4.28,165.8,0.8,8.8,9.6,29,0.5,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,00:00.0,KLGA,Rooftop
11/5/15 0:00,CCNY,360610135,160 CONVENT AVENUE,40.81976,-73.94825,23.8,NULL,NULL,NULL,NULL,0,NULL,58,Fog/Mist,Southwest at 3.5 MPH (3 KT),Southwest,230,3.5,NULL,NULL,00:00.0,KLGA,Rooftop
11/10/15 6:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,1.62,222.49,4.8,31.2,36,8,0.4,56,Overcast,Northeast at 9.2 MPH (8 KT),Northeast,60,9.2,NULL,54,00:00.0,KLGA,Rooftop
